letter	frequency
Cuba	5.46
Surinam	15.83
Haití	20.83
Antigua y Barbuda	20.95
Guatemala	24.23
Venezuela (Rep. Bol.de)	25.98
Honduras	27.04
El Salvador	27.3
Bolivia (Est. Plur. de)	29.39
San Cristóbal y Nieves	32.69
Rep.Dominicana	33.13
Nicaragua	33.39
Dominica	36.93
Belice	38.95
Ecuador	39.47
Jamaica	41.06
Santa Lucía	53.02
San Vicente y las Granadinas	55.94
México	56.82
Granada	56.95
Perú	58.22
Argentina	59.76
Costa Rica	60.7
Guyana	66.38
Paraguay	74.35
Colombia	76.26
Uruguay	76.88
Trinidad y Tobago	87.64
Reino Unido	104.04
Italia	108.22
Barbados	111.99
Brasil	117.39
Panamá	137.72
Portugal	166
Japón	180.71
Estados Unidos	207.06
España	207.62
Francia	218.84
Rep. Corea	219.05
Chile	227.77
